,Origin,Destination,Total_pax,Connected_at
634,EHEH,MMMX,0.0,LIRF
635,EHEH,CYVR,0.0,LIRF
636,EHEH,EDDF,0.0,LIRF
637,EHEH,KJFK,0.0,LIRF
638,EHEH,SBGL,0.0,LIRF
639,EHEH,LEMD,0.0,LIRF
640,EHEH,ZSPD,0.0,LIRF
641,EHEH,OMDB,0.0,LIRF
642,EHEH,LTFM,0.0,LIRF
643,EHEH,ZBAA,0.0,LIRF
644,EHEH,VIDP,0.0,LIRF
645,EHEH,EFRO,0.0,LIRF
646,EHEH,EHEH,-0.0,LIRF
647,EHEH,EFHK,0.0,LIRF
648,EHEH,LDZA,0.0,LIRF
649,EHEH,EBBR,0.0,LIRF
650,EHEH,EIDW,0.0,LIRF
