,ICAO Code_origin,ICAO Code_destination,Origin,Destination,Line,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Total_pax,OD_pair
88,RJAA,EBBR,POINT (140.3843 35.7702),POINT (4.4859 50.9002),"LINESTRING (140.3843 35.7702, 4.4859 50.9002)",0.0,0.0,1.0,99.0,EBBR_RJAA
89,RJAA,EIDW,POINT (140.3843 35.7702),POINT (-6.2701 53.4213),"LINESTRING (140.3843 35.7702, -6.2701 53.4213)",0.0,0.0,1.0,121.0,EIDW_RJAA
90,RJAA,LGAV,POINT (140.3843 35.7702),POINT (23.948 37.9362),"LINESTRING (140.3843 35.7702, 23.948 37.9362)",0.0,0.0,1.0,123.0,LGAV_RJAA
91,RJAA,BIKF,POINT (140.3843 35.7702),POINT (-21.9466 64.1318),"LINESTRING (140.3843 35.7702, -21.9466 64.1318)",0.0,0.0,0.0,0.0,BIKF_RJAA
92,RJAA,EETN,POINT (140.3843 35.7702),POINT (24.8165 59.4144),"LINESTRING (140.3843 35.7702, 24.8165 59.4144)",0.0,0.0,0.0,0.0,EETN_RJAA
93,RJAA,LKPR,POINT (140.3843 35.7702),POINT (14.2632 50.1018),"LINESTRING (140.3843 35.7702, 14.2632 50.1018)",0.0,0.0,1.0,106.0,LKPR_RJAA
94,RJAA,FACT,POINT (140.3843 35.7702),POINT (18.6021 -33.9715),"LINESTRING (140.3843 35.7702, 18.6021 -33.9715)",0.0,0.0,0.0,0.0,FACT_RJAA
95,RJAA,ESSA,POINT (140.3843 35.7702),POINT (17.9186 59.6519),"LINESTRING (140.3843 35.7702, 17.9186 59.6519)",0.0,0.0,1.0,115.0,ESSA_RJAA
96,RJAA,EGPH,POINT (140.3843 35.7702),POINT (-3.3725 55.95),"LINESTRING (140.3843 35.7702, -3.3725 55.95)",0.0,0.0,0.0,0.0,EGPH_RJAA
97,RJAA,LFQQ,POINT (140.3843 35.7702),POINT (3.1025 50.5669),"LINESTRING (140.3843 35.7702, 3.1025 50.5669)",0.0,0.0,-0.0,-0.0,LFQQ_RJAA
98,RJAA,LPPT,POINT (140.3843 35.7702),POINT (-9.135899999999999 38.7813),"LINESTRING (140.3843 35.7702, -9.135899999999999 38.7813)",0.0,0.0,1.0,106.0,LPPT_RJAA
99,EDDM,LIRF,POINT (11.7861 48.3538),POINT (12.239712 41.77354),"LINESTRING (11.7861 48.3538, 12.239712 41.77354)",0.0,1.0,-0.0,78.0,EDDM_LIRF
100,EDDM,EDDT,POINT (11.7861 48.3538),POINT (13.2877 52.5597),"LINESTRING (11.7861 48.3538, 13.2877 52.5597)",2.0,-0.0,-0.0,100.0,EDDM_EDDT
101,EDDM,RJAA,POINT (11.7861 48.3538),POINT (140.3843 35.7702),"LINESTRING (11.7861 48.3538, 140.3843 35.7702)",0.0,0.0,1.0,127.0,EDDM_RJAA
103,EDDM,LFPG,POINT (11.7861 48.3538),POINT (2.55 49.0128),"LINESTRING (11.7861 48.3538, 2.55 49.0128)",1.0,1.0,-0.0,153.0,EDDM_LFPG
104,EDDM,SAEZ,POINT (11.7861 48.3538),POINT (-58.5373 -34.8165),"LINESTRING (11.7861 48.3538, -58.5373 -34.8165)",0.0,0.0,0.0,0.0,EDDM_SAEZ
105,EDDM,CYYZ,POINT (11.7861 48.3538),POINT (-79.61450000000001 43.6817),"LINESTRING (11.7861 48.3538, -79.61450000000001 43.6817)",0.0,0.0,0.0,0.0,CYYZ_EDDM
106,EDDM,MMMX,POINT (11.7861 48.3538),POINT (-99.0719 19.4361),"LINESTRING (11.7861 48.3538, -99.0719 19.4361)",0.0,0.0,-0.0,-0.0,EDDM_MMMX
107,EDDM,CYVR,POINT (11.7861 48.3538),POINT (-123.1788 49.1951),"LINESTRING (11.7861 48.3538, -123.1788 49.1951)",0.0,0.0,0.0,0.0,CYVR_EDDM
108,EDDM,EDDF,POINT (11.7861 48.3538),POINT (8.570600000000001 50.0333),"LINESTRING (11.7861 48.3538, 8.570600000000001 50.0333)",2.0,-0.0,-0.0,90.0,EDDF_EDDM
109,EDDM,KJFK,POINT (11.7861 48.3538),POINT (-73.77970000000001 40.6446),"LINESTRING (11.7861 48.3538, -73.77970000000001 40.6446)",0.0,0.0,1.0,112.0,EDDM_KJFK
110,EDDM,SBGL,POINT (11.7861 48.3538),POINT (-43.2566 -22.8053),"LINESTRING (11.7861 48.3538, -43.2566 -22.8053)",0.0,0.0,0.0,0.0,EDDM_SBGL
111,EDDM,LEMD,POINT (11.7861 48.3538),POINT (-3.5626 40.4719),"LINESTRING (11.7861 48.3538, -3.5626 40.4719)",-0.0,1.0,-0.0,84.0,EDDM_LEMD
112,EDDM,ZSPD,POINT (11.7861 48.3538),POINT (121.8083 31.1443),"LINESTRING (11.7861 48.3538, 121.8083 31.1443)",0.0,0.0,-0.0,-0.0,EDDM_ZSPD
113,EDDM,OMDB,POINT (11.7861 48.3538),POINT (55.3641 25.2566),"LINESTRING (11.7861 48.3538, 55.3641 25.2566)",0.0,1.0,-0.0,48.0,EDDM_OMDB
114,EDDM,LTFM,POINT (11.7861 48.3538),POINT (28.7425 41.2593),"LINESTRING (11.7861 48.3538, 28.7425 41.2593)",-0.0,1.0,-0.0,99.0,EDDM_LTFM
115,EDDM,ZBAA,POINT (11.7861 48.3538),POINT (116.6031 40.0799),"LINESTRING (11.7861 48.3538, 116.6031 40.0799)",0.0,0.0,1.0,90.0,EDDM_ZBAA
116,EDDM,VIDP,POINT (11.7861 48.3538),POINT (77.1006 28.5567),"LINESTRING (11.7861 48.3538, 77.1006 28.5567)",0.0,1.0,-0.0,102.0,EDDM_VIDP
117,EDDM,EFRO,POINT (11.7861 48.3538),POINT (25.8275 66.55800000000001),"LINESTRING (11.7861 48.3538, 25.8275 66.55800000000001)",0.0,0.0,0.0,0.0,EDDM_EFRO
118,EDDM,EHEH,POINT (11.7861 48.3538),POINT (5.3784 51.4505),"LINESTRING (11.7861 48.3538, 5.3784 51.4505)",1.0,-0.0,-0.0,19.0,EDDM_EHEH
119,EDDM,EFHK,POINT (11.7861 48.3538),POINT (24.9633 60.3172),"LINESTRING (11.7861 48.3538, 24.9633 60.3172)",1.0,-0.0,-0.0,41.0,EDDM_EFHK
120,EDDM,LDZA,POINT (11.7861 48.3538),POINT (16.0675 45.7407),"LINESTRING (11.7861 48.3538, 16.0675 45.7407)",1.0,-0.0,-0.0,39.0,EDDM_LDZA
121,EDDM,EBBR,POINT (11.7861 48.3538),POINT (4.4859 50.9002),"LINESTRING (11.7861 48.3538, 4.4859 50.9002)",1.0,-0.0,-0.0,56.0,EBBR_EDDM
122,EDDM,EIDW,POINT (11.7861 48.3538),POINT (-6.2701 53.4213),"LINESTRING (11.7861 48.3538, -6.2701 53.4213)",1.0,-0.0,-0.0,56.0,EDDM_EIDW
123,EDDM,LGAV,POINT (11.7861 48.3538),POINT (23.948 37.9362),"LINESTRING (11.7861 48.3538, 23.948 37.9362)",1.0,-0.0,-0.0,56.0,EDDM_LGAV
124,EDDM,BIKF,POINT (11.7861 48.3538),POINT (-21.9466 64.1318),"LINESTRING (11.7861 48.3538, -21.9466 64.1318)",0.0,0.0,0.0,0.0,BIKF_EDDM
125,EDDM,EETN,POINT (11.7861 48.3538),POINT (24.8165 59.4144),"LINESTRING (11.7861 48.3538, 24.8165 59.4144)",1.0,-0.0,-0.0,26.0,EDDM_EETN
126,EDDM,LKPR,POINT (11.7861 48.3538),POINT (14.2632 50.1018),"LINESTRING (11.7861 48.3538, 14.2632 50.1018)",1.0,-0.0,-0.0,56.0,EDDM_LKPR
127,EDDM,FACT,POINT (11.7861 48.3538),POINT (18.6021 -33.9715),"LINESTRING (11.7861 48.3538, 18.6021 -33.9715)",0.0,0.0,0.0,0.0,EDDM_FACT
128,EDDM,ESSA,POINT (11.7861 48.3538),POINT (17.9186 59.6519),"LINESTRING (11.7861 48.3538, 17.9186 59.6519)",1.0,-0.0,-0.0,56.0,EDDM_ESSA
129,EDDM,EGPH,POINT (11.7861 48.3538),POINT (-3.3725 55.95),"LINESTRING (11.7861 48.3538, -3.3725 55.95)",1.0,-0.0,-0.0,28.0,EDDM_EGPH
130,EDDM,LFQQ,POINT (11.7861 48.3538),POINT (3.1025 50.5669),"LINESTRING (11.7861 48.3538, 3.1025 50.5669)",1.0,-0.0,-0.0,56.0,EDDM_LFQQ
131,EDDM,LPPT,POINT (11.7861 48.3538),POINT (-9.135899999999999 38.7813),"LINESTRING (11.7861 48.3538, -9.135899999999999 38.7813)",1.0,-0.0,-0.0,55.0,EDDM_LPPT
132,LFPG,LIRF,POINT (2.55 49.0128),POINT (12.239712 41.77354),"LINESTRING (2.55 49.0128, 12.239712 41.77354)",1.0,1.0,0.0,176.0,LFPG_LIRF
133,LFPG,EDDT,POINT (2.55 49.0128),POINT (13.2877 52.5597),"LINESTRING (2.55 49.0128, 13.2877 52.5597)",1.0,1.0,-0.0,165.0,EDDT_LFPG
134,LFPG,RJAA,POINT (2.55 49.0128),POINT (140.3843 35.7702),"LINESTRING (2.55 49.0128, 140.3843 35.7702)",0.0,0.0,1.0,256.0,LFPG_RJAA
135,LFPG,EDDM,POINT (2.55 49.0128),POINT (11.7861 48.3538),"LINESTRING (2.55 49.0128, 11.7861 48.3538)",1.0,1.0,-0.0,165.0,EDDM_LFPG
137,LFPG,SAEZ,POINT (2.55 49.0128),POINT (-58.5373 -34.8165),"LINESTRING (2.55 49.0128, -58.5373 -34.8165)",0.0,0.0,1.0,127.0,LFPG_SAEZ
138,LFPG,CYYZ,POINT (2.55 49.0128),POINT (-79.61450000000001 43.6817),"LINESTRING (2.55 49.0128, -79.61450000000001 43.6817)",0.0,0.0,0.0,0.0,CYYZ_LFPG
139,LFPG,MMMX,POINT (2.55 49.0128),POINT (-99.0719 19.4361),"LINESTRING (2.55 49.0128, -99.0719 19.4361)",0.0,0.0,1.0,189.0,LFPG_MMMX
140,LFPG,CYVR,POINT (2.55 49.0128),POINT (-123.1788 49.1951),"LINESTRING (2.55 49.0128, -123.1788 49.1951)",0.0,0.0,-0.0,-0.0,CYVR_LFPG
141,LFPG,EDDF,POINT (2.55 49.0128),POINT (8.570600000000001 50.0333),"LINESTRING (2.55 49.0128, 8.570600000000001 50.0333)",1.0,1.0,-0.0,168.0,EDDF_LFPG
142,LFPG,KJFK,POINT (2.55 49.0128),POINT (-73.77970000000001 40.6446),"LINESTRING (2.55 49.0128, -73.77970000000001 40.6446)",0.0,-0.0,1.0,226.0,KJFK_LFPG
