,Origin,Destination,Total_flights
684,EFHK,LGAV,0.0
685,EFHK,BIKF,0.0
686,EFHK,EETN,-0.0
687,EFHK,LKPR,0.0
688,EFHK,FACT,0.0
689,EFHK,ESSA,-0.0
690,EFHK,EGPH,0.0
691,EFHK,LFQQ,0.0
692,EFHK,LPPT,0.0
693,LDZA,LIRF,-0.0
694,LDZA,EDDT,-0.0
695,LDZA,RJAA,0.0
696,LDZA,EDDM,-0.0
697,LDZA,LFPG,0.0
698,LDZA,SAEZ,0.0
699,LDZA,CYYZ,0.0
700,LDZA,MMMX,0.0
701,LDZA,CYVR,0.0
702,LDZA,EDDF,-0.0
703,LDZA,KJFK,0.0
704,LDZA,SBGL,0.0
705,LDZA,LEMD,0.0
706,LDZA,ZSPD,0.0
707,LDZA,OMDB,0.0
708,LDZA,LTFM,0.0
709,LDZA,ZBAA,0.0
710,LDZA,VIDP,0.0
711,LDZA,EFRO,0.0
712,LDZA,EHEH,0.0
713,LDZA,EFHK,0.0
714,LDZA,LDZA,0.0
715,LDZA,EBBR,0.0
716,LDZA,EIDW,0.0
717,LDZA,LGAV,0.0
718,LDZA,BIKF,0.0
719,LDZA,EETN,0.0
720,LDZA,LKPR,-0.0
721,LDZA,FACT,0.0
722,LDZA,ESSA,0.0
723,LDZA,EGPH,0.0
724,LDZA,LFQQ,0.0
725,LDZA,LPPT,0.0
726,EBBR,LIRF,-0.0
727,EBBR,EDDT,-0.0
728,EBBR,RJAA,1.0
729,EBBR,EDDM,-0.0
730,EBBR,LFPG,-0.0
731,EBBR,SAEZ,0.0
732,EBBR,CYYZ,0.0
733,EBBR,MMMX,0.0
734,EBBR,CYVR,0.0
735,EBBR,EDDF,-0.0
736,EBBR,KJFK,0.0
737,EBBR,SBGL,0.0
738,EBBR,LEMD,-0.0
739,EBBR,ZSPD,0.0
740,EBBR,OMDB,0.0
741,EBBR,LTFM,0.0
742,EBBR,ZBAA,0.0
743,EBBR,VIDP,0.0
744,EBBR,EFRO,0.0
745,EBBR,EHEH,-0.0
746,EBBR,EFHK,0.0
747,EBBR,LDZA,0.0
748,EBBR,EBBR,0.0
749,EBBR,EIDW,-0.0
750,EBBR,LGAV,0.0
751,EBBR,BIKF,0.0
752,EBBR,EETN,0.0
753,EBBR,LKPR,-0.0
754,EBBR,FACT,0.0
755,EBBR,ESSA,0.0
756,EBBR,EGPH,-0.0
757,EBBR,LFQQ,-0.0
758,EBBR,LPPT,0.0
759,EIDW,LIRF,0.0
760,EIDW,EDDT,0.0
761,EIDW,RJAA,1.0
762,EIDW,EDDM,0.0
763,EIDW,LFPG,-0.0
764,EIDW,SAEZ,0.0
765,EIDW,CYYZ,0.0
766,EIDW,MMMX,0.0
767,EIDW,CYVR,0.0
768,EIDW,EDDF,0.0
769,EIDW,KJFK,0.0
770,EIDW,SBGL,0.0
771,EIDW,LEMD,0.0
772,EIDW,ZSPD,0.0
